# ID alias catalog claimedtype dec discoverdate discoverer download ebv host hostdec hostoffsetang hostoffsetdist hostra instruments lumdist maxabsmag maxappmag maxdate name photolink ra radiolink redshift references sources spectralink velocity xraylink lumdist_kind redshift_kind velocity_kind
1584 "AT2018bdz, C17-0110" sne Candidate -1.2396805555555557 2018/04/13 KEGS "" 0.0236 "SDSS J133733.14-011422.9" -1.2396944444444444 1.321 1.779 204.3880833333333 "DECAM (i)" 380 -16 21.57 2018/04/13 AT2018bdz 2,-0.926,0.0428 204.38844999999998 "" 0.08 2016A&A...594A..13P,2011ApJ...737..103S "" "" 20000 "" "" host ""
465 AT2012iq sne Candidate -0.1305777777777778 2012/04/22 "Claude Cornen" "" 0.0288 "SDSS J142211.75-000752.6" -0.13127777777777777 4.694 5.182 215.5489583333333 "" 249 -17.7 19.2 2012/04/21 AT2012iq 1,0 215.55005833333334 "" 0.054 2016A&A...594A..13P,2011ApJ...737..103S "" "" 16000 "" "" host ""
419 AT1999gz sne Candidate 0.816625 1999/03/20 "Galaxy Zoo" "" "" "SDSS J115731.45+004901.6" 0.8171111111111111 7.613 9.437 179.38104166666662 "" 288.47 -16.835 20.4 1999/03/19 AT1999gz 1,0 179.38309999999998 "" 0.06227 2016A&A...594A..13P "" "" 18090 "" "" host ""
48713 SN2003ej sne "II P, II" 0.7251111111111112 2003/05/20 LOTOSS "" 0.0158 "UGC 7820" 0.7175 28.11 10.26 189.79799999999997 "B, V, I" 76.076 -17.968 16.42 2003/05/23 SN2003ej 28,-0.393,67.4 189.79625 "" 0.01697 2016AJ....151...33G,2017ApJ...850...89G,2008ApJ...673..999P,2012A&A...538A.120L,2014ApJ...786...67A "" 7,-1.47,5.41 5131 "" "" host host
736 AT2016jie sne Candidate 0.6890000000000001 2016/06/07 "Galaxy Zoo" "" 0.0291 "SDSS J131325.47+004114.5" 0.6873611111111111 5.934 8.58 198.356125 "DECAM (R)" 341 -18.3 19.26 2016/06/07 AT2016jie 1,-0.441 198.35629999999998 "" 0.073 2016A&A...594A..13P,2011ApJ...737..103S "" "" 21000 "" "" host ""
1456 AT2017kdr sne Candidate 1.112538888888889 2017/03/02 "Galaxy Zoo" "" "" "SDSS J101249.79+010635.9" 1.1099722222222224 11.71 21.28 153.2074583333333 "DECAM (z)" 445 -15.6 22.5 2017/03/02 AT2017kdr 1,-0.418 153.2094583333333 "" 0.094 2016A&A...594A..13P "" "" 27000 "" "" host ""
55449 "SN2018jrj, AT2018jrj, ZTF18acrxpzx, PS19lr" sne II 64.24737777777779 2018/11/28 "ZTF, Pan-STARRS1, ATLAS, ZTF" "" "" "SDSS J111103.62+641445.8" 64.24605555555556 5.354 3.887 167.76508333333334 "GPC (i), GPC1 (i), ZTF-Cam (g, r)" 160.51 -18.0998 17.89 2018/12/09 SN2018jrj 7,-10.7,43.5 167.76665 "" 0.035322 2016A&A...594A..13P "" 1,2.83 10402 "" "" "" ""
4568 AT2019cjt sne Candidate 49.120222222222225 2019/03/25 TNTS "" "" "2MASS J08354255+4907116" 49.11988888888889 1.236 1.141 128.92729166666666 "" 230 -18 19 2019/03/24 AT2019cjt 1,0 128.92716666666666 "" 0.05 2016A&A...594A..13P "" "" 10000 "" "" host ""
52219 "SN2013ac, <a id=""PSNJ09454879+5840073"">PSN J09454879+5840073</a>" sne "II P" 58.66869444444444 2013/02/15 "Zhang et al., THU-NAOC Transient Survey (TNTS)" "" 0.0101 "PGC 3086846" 58.66916666666666 6.392 3.983 146.28333333333333 "" 136.4 -17.642 18 2013/02/17 SN2013ac 1,0 146.286625 "" 0.03013 2013CBET.3424....1G,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S "" "" 8897 "" "" heliocentric host
46697 SN1984F sne II 46.458333333333336 1984/03/30 "Metlova, Natalya Metlova" "" 0.0393 "MCG +08-15-47, UGC 4260" 46.465 24 3.8 122.79166666666666 "" 33 -16.6 16 1984/03/20 SN1984F 1,8.93 122.79166666666666 "" 0.0075 2012A&A...538A.120L,1984IAUC.3937....3G,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S "" "" 2254 "" host host host
48948 SN2004ak sne II 48.77302777777778 2004/02/29 LOSS "" 0.033 "UGC 4436" 48.78 34.2 17.1 127.45799999999997 "" 108.25 -17.546 17.6 2004/02/28 SN2004ak 1,0 127.4482083333333 "" 0.02402 2008ApJ...673..999P,2004IAUC.8297....3G,2012A&A...538A.120L,2016A&A...594A..13P,2004IAUC.8297....2S "" 1,14.2 7118 "" "" host host
52413 "SN2013ho, MASTER OT J080659.02+460811.6, PSN J08065902+4608116, <a id=""PSNJ08065902+4608116"">PSN J08065902+4608116</a>, J080659.02+460811.6" sne Ib/c 46.13655555555555 2013/11/01 "Denisenko, MASTER" "" 0.0487 "MCG +08-15-39" 46.13944444444444 14.85 10.33 121.74166666666666 "" 153.33 -18.492 17.4 2013/10/31 SN2013ho 1,0 121.74591666666664 "" 0.03378 2013CBET.3763....1D,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S "" 1,40.1 9997 "" "" "" host
3944 "AT2019aaf, ZTF19aadomlk, PS19oz" sne Candidate 1.6331083333333334 2019/01/19 "ZTF, Pan-STARRS1, ZTF" "" "" "2MASX J14175717+0137507" 1.63075 9.281 11.4 214.48820833333332 "GPC (w), GPC1 (w), ZTF-Cam (g, r)" 285.7 -17.64 19.57 2019/01/19 AT2019aaf 7,0.0385,18.9 214.48924999999997 "" 0.0617 2016A&A...594A..13P "" "" 17900 "" "" host ""
