# ID SN_Type SN_RA SN_Dec Redshift Kind_z Host_Name Host_RA Host_Dec vflag rmag AbsMag
0 II -999.0 -999.0 0.054 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
1 "II P" 101.25708333333333 63.24988888888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
2 "II P" 172.14021833333334 58.562972499999994 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3 "II, II P" 325.16141666666664 6.5102416666666665 0.023063 -999 "CGCG 402-014, PGC 67159" -999.0 -999.0 9 -999.0 -999.0
4 II 193.24249999999998 32.41925 0.022805 -999 "SDSS J125258.03+322444.3" 193.24179166666664 32.412305555555555 0 16.00054 -18.173713897524422
5 IIb 356.19999999999993 -2.1175472222222225 0.006731 -999 "PGC 1101367, GALEXASC J234448.27-020653.4" 356.201125 -2.1148333333333333 9 16.01203 -15.51247146742337
6 "II, II P" 209.553125 17.53157222222222 0.022447 -999 "CGCG 103-030" -999.0 -999.0 1 -999.0 -999.0
7 II 169.67095833333332 25.166633333333333 0.0254 -999 "SDSS J111840.97+250958.5" 169.67070833333332 25.166249999999998 0 17.81347 -16.59480209773933
8 Ibn 116.30991666666665 -71.40390000000001 0.017722 -999 "NGC 2466" -999.0 -999.0 9 -999.0 -999.0
9 Ic 160.163875 39.06463888888889 0.029284 -999 "MCG +07-22-42, CGCG 212-036 NED01" -999.0 -999.0 0 -999.0 -999.0
10 II 30.44329166666666 26.54498888888889 0.016708 -999 "IC 188, IC 0188" -999.0 -999.0 9 -999.0 -999.0
11 II 185.46408333333332 -24.165 0.013926 -999 "ESO 506-G4, 6dF J1221502-241004" 185.45916666666665 -24.16777777777778 9 -999.0 -999.0
12 II 170.49354166666663 -37.90680555555556 0.009159 -999 "ESO 319-G15" -999.0 -999.0 9 -999.0 -999.0
13 "II, IIb" 329.4998749999999 24.268916666666666 0.010424 -999 "UGC 11860" -999.0 -999.0 9 -999.0 -999.0
14 IIn 191.56153333333333 -40.814591666666665 0.015367 -999 "PGC 43070" -999.0 -999.0 9 -999.0 -999.0
15 II 220.16457499999996 38.632930555555554 0.0125 -999 "NGC 5732" -999.0 -999.0 0 -999.0 -999.0
16 II 65.00587499999999 -54.93805555555555 0.005017 -999 "NGC 1566" -999.0 -999.0 9 -999.0 -999.0
17 IIn 11.385624999999997 -14.259611111111111 0.021989 -999 "PGC 3093694, 2MASX J00453260-1415328" 11.385833333333332 -14.25911111111111 9 -999.0 -999.0
18 "II P" 305.4576666666666 -31.285216666666667 0.019277 -999 "ESO 462-G9, ESO 462-G009" -999.0 -999.0 9 -999.0 -999.0
19 II 130.1844583333333 57.25136388888889 0.017533 -999 "MCG +10-13-08, PGC 24396" -999.0 -999.0 2 -999.0 -999.0
20 II 26.159916666666664 35.805680555555554 0.014477 -999 "CGCG 521-075, PGC 6399" -999.0 -999.0 9 -999.0 -999.0
21 IIn 81.32554166666667 -46.00563888888889 0.042489 -999 "ESO 253-G3, ESO 253-G003" -999.0 -999.0 9 -999.0 -999.0
22 "II, II P" 9.969083333333332 -38.064505555555556 0.027 -999 "GALEXASC J003952.48-380347.3" 9.968666666666666 -38.063138888888886 9 -999.0 -999.0
23 "II, II P" 358.7880375 10.215055555555555 0.0137 -999 "SDSS J235509.00+101252.9" 358.7875 10.214694444444444 9 21.45365 -11.614056350421674
24 "Ib, Ibn" 196.0362083333333 52.312916666666666 0.054 -999 "SDSS J130408.52+521846.4" 196.03549999999998 52.312888888888885 0 20.80107 -15.24500231375448
25 IIn 210.77599999999998 -38.47497222222223 0.0178 -999 "ESO 325-G45, 6dF J1403085-382831" 210.78541666666666 -38.47527777777778 9 -999.0 -999.0
26 "II, II P" 195.27658333333332 -36.60004722222222 0.01587 -999 "ESO 381-IG48, ESO 381-IG048" -999.0 -999.0 9 -999.0 -999.0
27 IIb 238.6597083333333 16.610583333333334 0.007946 -999 "SDSS J155438.39+163637.6" 238.65995833333332 16.610444444444447 2 16.57799 -15.30685631823636
28 "Ibn, Ib" 252.1048333333333 50.99186111111111 0.04866 -999 "MCG +09-27-87, PGC 59030" -999.0 -999.0 9 -999.0 -999.0
