# ID claimedtype ra dec redshift redshift_kind host hostra hostdec vflag rmag abs_mag
37 II 193.24249999999998 32.41925 0.022805 -999 "SDSS J125258.03+322444.3" 193.24179166666664 32.412305555555555 0 16.00054 -18.173713897524422
50 II 169.67095833333332 25.166633333333333 0.0254 -999 "SDSS J111840.97+250958.5" 169.67070833333332 25.166249999999998 0 17.81347 -16.59480209773933
111 "Ib, Ibn" 196.0362083333333 52.312916666666666 0.065 -999 "SDSS J130408.52+521846.4" 196.03549999999998 52.312888888888885 1 20.80107 -15.647600297853916
174 IIn 165.51979166666663 3.500738888888889 0.0348 -999 "SDSS J110204.81+033003.1" 165.52004166666666 3.500861111111111 0 17.99434 -17.09765973437254
210 Ib 210.5651666666666 33.66119166666667 0.034371 -999 "PGC 2036567, 2MASX J14021617+3339415, 2MASX J14021617+3339" 210.56737499999997 33.66152777777778 0 15.92106 -19.14400435370285
212 II 231.34791666666663 29.173472222222223 0.021466 -999 "SDSS J152523.40+291018.8" 231.34749999999997 29.17188888888889 1 15.69168 -18.35117913976186
220 Ic 234.60541666666663 46.90183333333333 0.043 -999 "SDSS J153825.20+465404.1" 234.60499999999996 46.90113888888889 1 18.36746 -17.18398579253757
250 IIn 152.0343333333333 19.29982777777778 0.033574 -999 "SDSS J100807.76+191758.2" 152.0323333333333 19.299500000000002 1 16.64836 -18.365758945103703
274 IIn 203.72697083333333 10.98463611111111 0.061 -999 "GALEXASC J133454.49+105906.7" 203.72704166666665 10.985194444444444 1 19.53175 -16.779002689693474
345 Ibn 227.9278708333333 6.4198611111111115 0.031916 host "SDSS J151142.60+062511.9" 227.92749999999998 6.419972222222222 0 16.59179 -18.31235579664487
419 Candidate 179.38309999999998 0.816625 0.06227 host "SDSS J115731.45+004901.6" 179.38104166666662 0.8171111111111111 1 16.42431 -19.93118784324664
426 Candidate 204.62057083333332 2.5287055555555553 0.017996 host "SDSS J133829.08+023142.0" 204.62116666666665 2.5283333333333333 1 18.73739 -14.922593437107285
434 Candidate 155.80539999999996 4.594161111111111 0.06424 host "2MASX J10231308+0435387" 155.80449999999996 4.594083333333333 1 16.12016 -20.302971175992766
437 Candidate 160.4013083333333 11.077036111111111 0.0528237 host "SDSS J104136.33+110429.4" 160.40137499999997 11.074833333333332 0 15.76897 -20.22927760362357
440 Candidate 172.8228 -0.9735 0.0639 host "SDSS J113117.55-005828.8" 172.823125 -0.9746666666666667 0 17.21167 -19.19993780543164
441 Candidate 181.49647916666666 10.016930555555556 0.092 host "SDSS J120559.29+100058.5" 181.49704166666666 10.01625 0 16.97682 -20.22622265136741
464 Candidate 180.75597916666666 1.4393111111111112 0.0841239 host "SDSS J120301.30+012616.7" 180.75541666666666 1.4379722222222222 0 16.81984 -20.188860506918473
465 Candidate 215.55005833333334 -0.1305777777777778 0.054 host "SDSS J142211.75-000752.6" 215.5489583333333 -0.13127777777777777 0 16.76493 -19.28114231375448
471 Candidate 218.72441249999997 -1.139238888888889 0.048 host "SDSS J143453.82-010813.8" 218.72424999999998 -1.1371666666666667 1 16.66503 -19.12527970151757
479 Candidate 207.94819999999996 2.7481 0.069 host "SDSS J135147.61+024450.6" 207.94837499999997 2.747388888888889 0 17.35023 -19.228118968325912
501 Candidate 169.89159999999998 25.729599999999998 0.09149 host "SDSS J111933.80+254348.5" 169.89083333333332 25.730138888888888 1 17.66146 -19.52951165261364
541 Candidate 184.11299999999997 27.373344444444445 0.08 host "SDSS J121627.34+272223.5" 184.11391666666665 27.373194444444444 1 17.85896 -19.040593449599353
736 Candidate 198.35629999999998 0.6890000000000001 0.073 host "SDSS J131325.47+004114.5" 198.356125 0.6873611111111111 0 17.55096 -19.149757815241916
750 Candidate 133.99297499999997 4.467661111111111 0.072824 host "SDSS J085558.59+042803.5" 133.99412499999997 4.467638888888889 0 16.86615 -19.829326163255313
806 Candidate 188.11095833333331 16.25863888888889 0.051016 -999 "2MASX J12322650+1615287" 188.11041666666665 16.25797222222222 1 16.15716 -19.76547553453563
807 Candidate 178.0905833333333 20.652277777777776 0.023173 -999 "2MASX J11522168+2039069" 178.09033333333332 20.651916666666665 0 14.81575 -19.393264822800944
907 Candidate 194.47516666666664 28.499333333333333 0.024 host "2MASX J12575392+2829594" 194.47466666666665 28.499833333333335 0 15.21525 -19.069909723197668
1343 Candidate 175.22804166666666 19.163416666666667 0.07 host "2MASX J11405470+1909460" 175.22791666666666 19.162777777777777 0 16.67652 -19.933073714710925
1456 Candidate 153.2094583333333 1.112538888888889 0.094 host "SDSS J101249.79+010635.9" 153.2074583333333 1.1099722222222224 0 15.97771 -21.272032782638135
1464 Candidate 187.2445833333333 31.66047222222222 0.038633 -999 "2MASX J12285879+3139352" 187.2449583333333 31.659777777777776 1 16.34644 -18.97245568503724
1554 Candidate 142.41309999999996 14.7185 0.0774 host "2MASX J09293765+1443185" 142.40687499999999 14.721805555555555 0 14.44495 -22.382858318054105
1584 Candidate 204.38844999999998 -1.2396805555555557 0.08 host "SDSS J133733.14-011422.9" 204.3880833333333 -1.2396944444444444 0 17.40083 -19.498723449599353
1753 Candidate 163.16641666666663 19.945775 0.03 host "SDSS J105240.65+195641.2" 163.169375 19.944777777777777 1 16.62232 -18.14738978823795
1804 Candidate 204.6939583333333 32.51347222222222 0.04 host "SDSS J133845.98+323042.0" 204.6915833333333 32.51166666666666 0 16.88382 -18.510583471279446
1821 Candidate 196.26037499999998 28.73938888888889 0.028 host "2MASX J13050256+2844204" 196.26066666666665 28.739 0 15.31636 -19.30353367135074
2019 Candidate 234.22562499999998 2.4656972222222224 0.04 host "2MASX J15365403+0227484" 234.225125 2.4634444444444448 0 16.07486 -19.319543471279445
3010 Candidate 168.29037083333333 12.971675 0.069528 -999 "2MASX J11130941+1258143" 168.2892083333333 12.970638888888889 0 16.02552 -20.569382199216477
3056 Candidate 163.41147499999997 14.749980555555554 0.055205 -999 "2MASX J10533821+1444585" 163.4092083333333 14.749583333333332 0 15.58956 -20.50443558571949
3632 Candidate 190.81520833333332 27.086194444444445 0.023 host "2MASXi J1243154+270508" 190.81416666666667 27.085555555555555 0 15.66773 -18.5250126947276
3642 Candidate 199.44199999999998 27.217138888888886 0.038 host "SDSS J131745.67+271302.4" 199.44029166666664 27.217333333333332 0 15.7141 -19.568921497723686
3906 Candidate 132.53154999999998 13.31388888888889 0.04 host "SDSS J085007.67+131849.8" 132.53195833333334 13.313833333333333 1 21.05789 -14.336513471279446
3915 Candidate 188.9707083333333 31.43347222222222 0.08 host "2MASX J12355276+3126035" 188.9698333333333 31.434305555555557 1 16.03327 -20.86628344959935
3917 Candidate 130.0443083333333 23.87015277777778 0.044 host "SDSS J084010.52+235213.9" 130.0438333333333 23.870527777777777 1 17.97849 -17.622876897070576
3918 Candidate 139.9513583333333 14.452058333333333 0.085 host "SDSS J091948.32+142705.7" 139.9513333333333 14.451583333333332 0 16.65459 -20.3766081432111
3944 Candidate 214.48924999999997 1.6331083333333334 0.0617 host "2MASX J14175717+0137507" 214.48820833333332 1.63075 1 16.43885 -19.89667933480585
