ID,hostra,hostdec,petroMag_r
50137,189.522,-0.027,13.87436
52767,154.8926,-1.009333,17.11017
47741,190.962,-0.5612,12.84999
429,155.3755,1.073389,16.3653
50690,41.52917,-7.634444,14.47645
1129,19.29842,13.34094,15.48341
3720,29.26204,13.01917,15.62237
53302,29.62604,12.92447,20.95946
50837,20.18333,14.69361,22.44967
52095,19.69167,14.99306,13.71206
52079,21.87917,14.81972,14.97722
47129,70.1375,-5.500834,20.929
49205,67.9125,-4.589167,22.48878
55449,167.7651,64.24606,16.50294
46750,127.5,52.6972,13.40149
48600,133.6458,57.16667,12.89834
47766,153.752,65.1399,13.60885
47328,228.411,2.8951,15.79164
48498,355.7792,-9.801389,19.08232
50066,37.12083,-7.891111,21.62999
575,352.229,-8.867945,16.45489
50056,352.25,-8.901111,22.40053
50057,352.3042,-8.799444,20.37327
49037,29.71667,-8.166111,23.40092
50738,309.7292,-5.640555,12.68427
48889,3.963708,16.0898,13.34221
55466,149.7159,1.020083,15.75996
46669,148.4167,1.579444,11.90751
22667,148.8653,1.575361,21.16212
21845,149.0822,1.409222,22.24484
21750,149.82,1.613508,22.16737
22024,149.2225,1.979228,24.90602
56931,149.6335,2.032305,21.87173
56934,149.8589,2.013417,21.89416
57060,150.3665,1.863694,21.0503
21812,150.4709,2.042697,20.58042
56808,150.4838,1.879556,19.93315
56813,150.5944,1.894222,21.99865
21702,149.976,2.4106,21.24407
56816,150.3051,2.414972,23.74195
46802,146.939,2.627,13.61329
21749,150.5354,2.718706,18.15985
55316,96.16783,46.50439,16.7803
50839,146.1458,55.76305,14.69127
51369,166.1,4.828611,13.50965
36774,131.0688,45.34418,19.92597
478,160.9544,0.8653611,17.51924
47954,171.3333,63.72833,13.31431
51367,164.4208,57.61333,17.19617
47037,196.9042,62.21611,13.50756
12857,222.2102,57.77086,14.46234
49602,190.2375,63.51972,13.8536
52604,207.025,61.82667,13.75471
51725,248.4583,39.26305,13.77347
52822,235.122,0.9103889,16.66928
51065,224.5292,2.434167,22.2352
48326,247.252,41.2843,13.6071
51341,255.9708,31.49917,14.57782
50823,250.05,39.73195,21.83389
54336,200.5786,-1.880944,17.05772
1580,197.6272,-3.340694,18.67294
480,213.693,-3.159111,16.38259
476,199.5753,-2.858222,15.88046
47968,200.609,-2.4183,13.6495
54428,201.1592,-2.580639,18.20045
47056,200.3792,-2.162222,22.7367
490,218.0588,-1.878722,18.92001
