ID,SpecObjID,photoObjID,hostra,hostdec,SDSSra,SDSSdec,SDSSredshift,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
47914,1012215121411336192,1237657633260699874,138.7333,46.90333,138.73198,46.903084,0.01418223,15.44749,14.08279,13.31872,12.89061,12.61978,0.03320013,0.004895207,0.003398513,0.004084769,0.005397849,0.07832146,0.06102756,0.04221858,0.03137293,0.0233357
46384,1012215121411336192,1237657633260699874,138.7333,46.90333,138.73198,46.903084,0.01418223,15.44749,14.08279,13.31872,12.89061,12.61978,0.03320013,0.004895207,0.003398513,0.004084769,0.005397849,0.07832146,0.06102756,0.04221858,0.03137293,0.0233357
53292,1009964695735527424,1237657770704437449,134.748,44.83058,134.74805,44.830595,0.04789706,18.53933,17.36878,17.02961,16.75984,16.67812,0.06435547,0.0104827,0.010886,0.01702177,0.05874692,0.08809423,0.06864243,0.04748652,0.03528757,0.02624747
48315,1001088614215477248,1237657594072399953,117.5,30.025,117.5001,30.02495,0.0275748,16.25987,14.57942,13.77483,13.3539,13.12543,0.025708,0.003979345,0.002559836,0.002533771,0.005715167,0.2180092,0.1698713,0.1175162,0.08732712,0.06495534
52803,1001045733261993984,1237657608030454182,116.3624,29.89067,116.36421,29.890351,0.02373924,18.37527,17.66226,17.21834,17.06759,17.33457,0.08279999,0.02831298,0.01366833,0.02455415,0.1211019,0.1849732,0.1441299,0.09970839,0.07409402,0.05511234
52674,1001027591320135680,1237657595683078624,116.4302,31.00856,116.43021,31.008608,0.06210726,18.90909,17.30345,16.38588,15.88615,15.56561,0.1297515,0.02598192,0.02386489,0.01760161,0.01793127,0.2383671,0.185734,0.1284899,0.09548178,0.0710209
52852,960493540557744128,1237671991339516005,203.3631,5.482555,203.36689,5.4803297,0.02222189,16.79994,15.26885,14.77735,14.57,14.43348,0.04758821,0.008153033,0.006066226,0.006944962,0.02623263,0.1415546,0.1102984,0.0763039,0.05670198,0.04217585
48974,960432792540309504,1237671957517828103,204.372,4.1044,204.37236,4.1044168,0.02305833,16.1986,14.40249,13.71841,13.37577,13.39722,0.03148549,0.01532795,0.01465714,0.01350829,0.01408836,0.1074442,0.0837198,0.05791697,0.04303851,0.03201275
46778,951452806315796480,1237655123937001520,187.92,3.9263,187.92039,3.9263188,0.01510862,15.19202,13.76654,13.19738,12.94468,12.71065,0.05233434,0.09054002,0.09245452,0.09400122,0.08461305,0.1044479,0.08138506,0.05630181,0.04183828,0.03111999
54551,951435214129752064,1237668675623518317,188.1225,4.88875,188.12247,4.8887827,0.08277824,19.00992,17.83483,17.33247,17.01103,16.94851,0.09887942,0.01423734,0.009916445,0.01776873,0.07012024,0.08521064,0.06639556,0.04593214,0.0341325,0.02538831
