# ID claimedtype dec host hostdec hostra ra redshift redshift_kind
0 "" 0.011027777777777779 "" "" "" 161.77716666666666 "" ""
1 "" 0.0077777777777777776 "" "" "" 161.42816666666667 "" ""
2 "" -0.23130555555555557 "" "" "" 161.92058333333333 "" ""
3 "" -62.583333333333336 "Milky Way" "" "" 179.62499999999997 "" ""
4 "" -0.23947222222222223 "" "" "" 205.87024999999997 "" ""
5 "" -0.30294444444444446 "" "" "" 206.3599583333333 "" ""
6 "" 0.11247222222222222 "" "" "" 205.9267083333333 "" ""
7 "" 0.13444444444444445 "" "" "" 206.36229166666664 "" ""
8 "" -0.34875 "" "" "" 206.07704166666664 "" ""
9 "" 0.06858333333333333 "" "" "" 206.28124999999997 "" ""
10 "" -24.066666666666666 "Milky Way" "" "" 274.35416666666663 "" ""
11 "" "" "" "" "" "" "" ""
12 II "" "" "" "" "" 0.054 ""
14 "" -0.9166666666666666 "Milky Way" "" "" 282.35416666666663 "" ""
15 "" -3.0 "Milky Way" "" "" 286.5 "" ""
16 "" 7.133333333333334 "Milky Way" "" "" 286.89166666666665 "" ""
17 "" 17.233333333333334 "Milky Way" "" "" 294.7083333333333 "" ""
18 "" 51.88333333333333 "Milky Way" "" "" 321.20833333333326 "" ""
19 "" -4.933333333333334 "Milky Way" "" "" 280.32916666666665 "" ""
20 "" 21.95 "Milky Way" "" "" 293.74583333333334 "" ""
21 "Ia CSM, IIn" -31.31275 "GALEXASC J032107.24-311845.8" -31.312722222222224 50.28016666666666 50.28124999999999 0.068139 ""
22 "II P" 63.24988888888889 "" "" "" 101.25708333333333 "" ""
26 "" 58.56297416666666 "" "" "" 172.1400883333333 "" ""
27 "" 58.562954999999995 "" "" "" 172.13999624999997 "" ""
28 "II P" 58.562972499999994 "" "" "" 172.14021833333334 "" ""
32 "II, II P" 6.5102416666666665 "CGCG 402-014, PGC 67159" "" "" 325.16141666666664 0.023063 ""
37 II 32.41925 "SDSS J125258.03+322444.3" 32.412305555555555 193.24179166666664 193.24249999999998 0.022805 ""
38 "" 31.21538888888889 "NGC 5653" "" "" 217.5409583333333 0.01188 ""
40 Ia-91bg 37.60180555555556 "IC 527, IC 0527" "" "" 137.42375 0.02298 ""
44 IIb -2.1175472222222225 "PGC 1101367, GALEXASC J234448.27-020653.4" -2.1148333333333333 356.201125 356.19999999999993 0.006731 ""
45 "Ia Pec, Ia-91T" 8.405866666666666 "SDSS J102131.91+082419.8" 8.4055 155.3829583333333 155.38291666666663 0.032668 ""
47 "Ia, Ia-91bg" 26.470277777777778 "IC 831, IC 0831" "" "" 193.18666666666664 0.021405 ""
48 "II, II P" 17.53157222222222 "CGCG 103-030" "" "" 209.553125 0.022447 ""
50 II 25.166633333333333 "SDSS J111840.97+250958.5" 25.166249999999998 169.67070833333332 169.67095833333332 0.0254 ""
54 "Ia, I" -70.04058333333333 "ESO 75-G49, ESO 075-G049" "" "" 330.5077083333333 0.037519 ""
55 "IIn, Ia CSM" 33.61713888888889 "PGC 2035709, 2MASX J02183825+3336556" 33.61544444444445 34.659375 34.65758333333333 0.044 ""
56 Ibn -71.40390000000001 "NGC 2466" "" "" 116.30991666666665 0.017722 ""
57 Ic 39.06463888888889 "MCG +07-22-42, CGCG 212-036 NED01" "" "" 160.163875 0.029284 ""
58 II 26.54498888888889 "IC 188, IC 0188" "" "" 30.44329166666666 0.016708 ""
