# ID ra dec redshift vflag
21 50.28124999999999 -31.31275 0.068139 9
32 325.16141666666664 6.5102416666666665 0.023063 9
37 193.24249999999998 32.41925 0.022805 0
40 137.42375 37.60180555555556 0.02298 0
44 356.19999999999993 -2.1175472222222225 0.006731 9
45 155.38291666666663 8.405866666666666 0.032668 0
47 193.18666666666664 26.470277777777778 0.021405 0
48 209.553125 17.53157222222222 0.022447 1
50 169.67095833333332 25.166633333333333 0.0254 0
54 330.5077083333333 -70.04058333333333 0.037519 9
55 34.65758333333333 33.61713888888889 0.044 9
56 116.30991666666665 -71.40390000000001 0.017722 9
57 160.163875 39.06463888888889 0.029284 0
58 30.44329166666666 26.54498888888889 0.016708 9
59 185.46408333333332 -24.165 0.013416 9
60 170.49354166666663 -37.90680555555556 0.009159 9
61 329.4998749999999 24.268916666666666 0.010424 9
69 225.15349999999998 -3.846916666666667 0.022722 9
72 191.56153333333333 -40.814591666666665 0.015367 9
73 220.16457499999996 38.632930555555554 0.0125 0
77 65.00587499999999 -54.93805555555555 0.005017 9
84 11.385624999999997 -14.259611111111111 0.021989 9
87 305.4576666666666 -31.285216666666667 0.019277 9
90 130.1844583333333 57.25136388888889 0.017533 2
94 26.159916666666664 35.805680555555554 0.014477 9
95 81.32554166666667 -46.00563888888889 0.042489 9
96 9.969083333333332 -38.064505555555556 0.023 9
102 344.330875 -20.96688888888889 0.026191 9
106 16.704874999999998 -46.98332222222223 0.016 9
107 358.7880375 10.215055555555555 0.0137 9
111 196.0362083333333 52.312916666666666 0.065 1
115 210.77599999999998 -38.47497222222223 0.0178 9
119 3.0065666666666666 26.393683333333332 0.015034 9
126 195.27658333333332 -36.60004722222222 0.01587 9
127 61.560999999999986 -8.885633333333333 0.036715 9
128 238.6597083333333 16.610583333333334 0.007946 2
143 172.20687499999997 29.914583333333333 0.050448 1
147 252.1048333333333 50.99186111111111 0.04866 9
148 257.44179166666663 62.97416944444445 0.027408 9
149 247.9533333333333 20.41069444444444 0.017182 1
152 140.08516666666668 -7.640772222222222 0.033436 9
155 203.85474999999997 1.4091666666666667 0.017479 1
156 194.86371666666665 14.171052777777778 0.006631 2
159 214.099875 39.50250555555556 0.019507 1
167 233.3929583333333 -78.12318333333333 0.009096 9
169 302.5097916666666 -0.7392527777777778 0.025 9
174 165.51979166666663 3.500738888888889 0.0348 0
176 162.12625 -21.635541666666665 0.012742 9
185 152.91245833333332 -31.65112222222222 0.009477 9
189 130.05004166666663 -4.591944444444444 0.014257 9
190 29.548041666666666 -39.54713888888889 0.018453 9
196 204.32779166666666 -28.656541666666666 0.008022 9
198 181.6898333333333 67.15666666666667 0.008382 2
201 13.422499999999998 18.091388888888886 0.015014 9
205 309.0218333333333 -73.10900277777777 0.012625 9
209 210.81562499999998 41.60398888888889 0.034446 1
210 210.5651666666666 33.66119166666667 0.034371 0
212 231.34791666666663 29.173472222222223 0.021466 1
217 207.88187499999998 -48.076036111111115 0.00984 9
220 234.60541666666663 46.90183333333333 0.043 1
223 261.6743333333333 13.909852777777779 0.023206 9
225 70.971625 -9.703111111111111 0.026 9
232 51.858124999999994 -47.82880555555556 0.048 9
233 52.74645833333333 -18.556441666666668 0.025451 9
235 289.8895416666666 -33.76722222222222 0.006929 9
247 341.3050833333333 -22.727727777777776 0.010207 9
249 21.400374999999997 -41.46551111111111 0.021638 9
250 152.0343333333333 19.29982777777778 0.033574 1
251 312.0324166666666 16.383702777777778 0.030314 9
253 0.9052083333333333 -34.55672222222222 0.02894 9
260 293.02919583333335 -62.44166388888888 0.033 9
264 307.38762499999996 -61.950950000000006 0.015 9
269 351.89833333333326 29.40865833333333 0.016 9
272 338.5107499999999 -32.39821666666666 0.0126 9
274 203.72697083333333 10.98463611111111 0.061 1
276 101.25700833333332 63.249969444444446 0.0222 9
277 142.55705833333332 69.11737222222222 0.0135 9
279 225.11533333333333 6.455363888888889 0.029791 0
280 85.02162916666666 -80.37295277777777 0.02 9
281 8.534166666666666 -29.557222222222222 0.038 9
285 5.3378749999999995 -48.64176111111111 0.011471 9
291 334.95599999999996 -40.667899999999996 0.010783 9
302 315.5901916666666 -54.58973888888889 0.0434 9
305 359.50344166666656 -41.53396111111111 0.023446 9
311 289.0859583333333 -60.19846944444444 0.013716 9
315 353.3018916666666 -60.57475 0.014827 9
325 52.31927916666666 -23.97856111111111 0.02 9
328 90.24554166666667 -17.992219444444444 0.0221 9
345 227.9278708333333 6.4198611111111115 0.031916 0
356 336.0909708333333 -33.69246111111111 0.011191 9
357 72.47697083333333 -41.93835 0.019657 9
362 358.41844999999995 -34.07431944444445 0.056 9
367 100.66287083333333 -53.24036944444445 0.027012 9
378 67.2558 -61.280338888888885 0.064 9
387 96.32085 -85.69826111111111 0.041665 9
390 50.72512499999999 -36.76476944444445 0.041062 9
404 314.67287916666663 -54.185919444444444 0.044107 9
405 94.09275 -21.359911111111114 0.009143 9
408 343.12232083333333 -11.090411111111111 0.025271 9
419 179.38309999999998 0.816625 0.06227 1
420 209.10155833333332 -0.24855555555555556 0.02975 2
423 11.947116666666666 -9.378408333333335 0.013963 9
426 204.62057083333332 2.5287055555555553 0.017996 1
428 36.13279999999999 -9.0935 0.052 9
429 155.37579999999997 1.0748 0.10975 9
430 154.8702708333333 2.8888861111111113 0.161 9
433 251.75077916666666 39.05996388888889 0.02922 2
434 155.80539999999996 4.594161111111111 0.06424 1
436 176.11857916666665 -1.8834305555555555 0.07717 2
437 160.4013083333333 11.077036111111111 0.0528237 0
440 172.8228 -0.9735 0.0639 0
441 181.49647916666666 10.016930555555556 0.092 0
442 194.8788458333333 40.602019444444444 0.065652 0
447 79.29804166666666 -64.95877777777778 0.00353 9
452 241.69559166666667 14.082108333333332 0.101295 9
453 243.29382499999994 9.828030555555555 0.01631 1
454 196.75809166666664 16.011622222222222 0.053 0
456 198.75304999999997 9.956680555555554 0.099 2
459 32.16868749999999 -6.454869444444444 0.092 9
460 342.19926666666663 28.1859 0.0899 9
461 31.721799999999998 -0.5231 0.043 9
462 184.0327125 1.2685694444444444 0.07538 0
463 185.20507083333334 0.6316972222222222 0.10279 9
464 180.75597916666666 1.4393111111111112 0.0841239 0
465 215.55005833333334 -0.1305777777777778 0.054 0
466 218.09905833333332 1.2802583333333333 0.1139 9
467 33.9386 0.8606 0.142 9
468 36.1658 -1.1046 0.068 9
469 17.6205 1.6905000000000001 0.044541 9
470 117.96619166666665 49.814227777777774 0.024437 2
471 218.72441249999997 -1.139238888888889 0.048 1
472 121.88499999999999 5.5342 0.031 2
473 337.71009999999995 -0.5233000000000001 0.081 9
474 21.65 0.41250000000000003 0.119 9
475 6.6427 0.4988 0.071 9
476 199.57379999999998 -2.8622 0.085 2
477 151.611 0.9642 0.046 2
478 160.9553 0.8637 0.118 9
479 207.94819999999996 2.7481 0.069 0
480 213.6922208333333 -3.159647222222222 0.047843 2
482 85.69817916666666 82.45739444444445 0.034897 9
484 228.31009999999998 4.286 0.036495 0
485 112.23320833333332 56.19616666666666 0.017896 9
486 220.01122499999997 -1.5281 0.080166 2
487 221.21832083333328 0.36679999999999996 0.037 2
489 218.408675 0.2924083333333333 0.12529 9
490 218.05819999999997 -1.8794388888888889 0.05398 2
491 157.17829999999998 -0.14429999999999998 0.035 2
492 41.020199999999996 0.7747 0.045 9
493 162.9937 -0.7251 0.108 9
494 6.560375 0.5456 0.064 9
495 48.893766666666664 -15.884613888888888 0.11566 9
496 25.195899999999995 -0.2179 0.05833 9
497 127.4187083333333 43.78147222222222 0.083957 1
498 143.80533333333332 50.472750000000005 0.066751 1
499 151.00637499999996 -6.4738444444444445 0.0124 9
501 169.89159999999998 25.729599999999998 0.09149 1
502 219.58139999999997 1.234288888888889 0.12278 9
503 229.94821666666664 -2.151261111111111 0.0369243 2
504 196.02854166666663 19.21214722222222 0.066341 0
505 151.11956249999997 72.568175 0.0481 9
506 236.94009999999997 28.6437 0.033224 0
507 178.34169999999997 -0.3137 0.134287 9
510 349.1049583333333 24.49661111111111 0.028006 9
511 32.87537499999999 -35.83213611111111 0.020748 9
512 11.18120833333333 41.89447222222222 0.000175 9
513 264.69420833333334 59.37288888888889 0.031041 9
524 181.78041666666667 53.668416666666666 0.0589 0
530 12.027416666666666 -78.59994444444445 0.01408 9
531 219.311375 38.456833333333336 0.012272 0
532 124.78887499999999 -67.50455555555556 0.023746 9
538 198.10841666666664 28.537833333333335 0.021218 0
539 206.19970833333332 37.161055555555556 0.02664 1
541 184.11299999999997 27.373344444444445 0.08 1
542 116.34570833333332 -71.41130555555556 0.017722 9
546 252.944 81.59980555555555 0.0394 9
550 319.1008291666666 -0.8286805555555555 0.01938 9
552 147.97836249999997 -14.601025 0.03138 9
561 314.780375 11.147583333333333 0.031 9
563 195.03187499999996 27.976027777777777 0.02163 0
571 247.39925 15.65838888888889 0.034117 2
572 10.013124999999997 41.7553 0.000175 9
575 352.22951249999994 -8.867011111111111 0.074 9
584 10.727833333333331 41.383469444444444 0.000175 9
585 23.525791666666663 30.624669444444446 0.00019 9
586 23.486583333333332 30.59788888888889 0.00019 9
591 256.5946 -62.157519444444446 0.00503 9
597 10.597916666666665 41.288830555555556 0.000175 9
598 350.27875 -8.109744444444445 0.0986 9
599 231.80746666666664 28.763894444444446 0.061936 0
608 252.9868875 25.924075000000002 0.035572 2
609 243.61433749999998 25.693638888888888 0.0638 0
610 352.99383333333327 28.947694444444444 0.018 9
612 48.46172083333333 -18.517169444444445 0.0523 9
616 31.06187083333333 -8.141319444444443 0.86 9
624 314.29249999999996 25.964469444444443 0.005084 9
635 140.49491666666665 50.955333333333336 0.00348 2
636 33.983374999999995 33.81197222222222 0.032 9
645 348.42454166666664 24.90233333333333 0.0266 9
654 10.621416666666665 40.88415 0.00018 9
662 72.92374999999998 -6.232111111111111 0.01293 9
674 23.292749999999998 30.536350000000002 0.00019 9
686 16.11170833333333 2.1730305555555556 -0.000781 2
687 18.462458333333334 13.27263888888889 0.0496 9
693 23.506541666666664 30.71108333333333 0.00019 9
695 123.44583333333331 58.08152777777778 0.027 2
697 47.37507916666666 -23.25073888888889 0.068708 9
700 10.694124999999998 41.28272222222222 0.000175 9
701 79.86752499999999 14.446827777777777 0.022899 9
703 18.4388625 -5.857944444444444 0.054371 9
716 10.381416666666665 41.120444444444445 0.000175 9
730 150.37258333333332 2.4760555555555555 2.8225 9
732 92.44170833333332 22.67535 0.037446 9
733 173.8469 -2.9688000000000003 0.146938 9
734 178.9603 -2.2502 0.345 9
735 195.53389999999996 -3.0977 0.088 2
736 198.35629999999998 0.6890000000000001 0.073 0
737 189.38039999999998 -1.7293 0.081 2
748 199.62009999999998 2.6857 0.147 9
749 177.36719999999997 1.9035 0.137 9
750 133.99297499999997 4.467661111111111 0.072824 0
751 131.12969999999999 18.287100000000002 0.020808 1
752 148.4051458333333 -0.04058611111111111 0.111044 9
753 153.61982499999996 -1.2324861111111112 0.058383 2
755 156.60842916666667 17.508127777777776 0.0167 1
771 10.65883333333333 41.23630555555555 0.000175 9
772 148.90074999999996 69.10583333333332 0.00082 2
778 240.54477916666667 36.649166666666666 0.082789 1
789 170.864375 53.67930555555555 0.027298 0
790 149.13066666666666 69.12483333333333 0.00082 2
801 168.8743333333333 35.18322777777777 0.089336 1
802 227.03061249999996 37.99481111111111 0.062165 1
806 188.11095833333331 16.25863888888889 0.051016 1
807 178.0905833333333 20.652277777777776 0.023173 0
809 36.275541666666655 -24.786305555555558 0.010282 9
812 247.1626083333333 49.17033333333333 0.03599 9
813 208.06704166666665 2.1011111111111114 0.033043 0
815 234.70464999999996 24.594358333333332 0.033755 0
835 170.31733749999998 -5.953236111111111 0.02822 9
836 209.1107583333333 4.980402777777778 0.03 1
846 193.99624999999997 63.61452777777778 0.016225 2
876 176.52691666666666 19.63525 0.02 0
878 227.48079166666665 1.4019805555555556 0.027742 1
886 121.06887499999998 30.18386111111111 0.01399 1
894 179.79629166666663 17.992527777777777 0.077 0
906 197.09312499999996 31.231277777777777 0.106731 9
907 194.47516666666664 28.499333333333333 0.024 0
911 131.77715833333332 27.87625277777778 0.020824 1
912 172.62101666666663 54.17717777777778 0.065559 0
914 219.99572916666665 55.5 0.076897 0
917 346.5263 19.712391666666665 0.682072 9
925 287.35883749999994 52.88785 0.051656 9
926 159.7470833333333 26.21641111111111 0.043095 1
942 185.3542958333333 50.46146111111111 0.088962 0
944 207.49402916666662 57.91341111111111 0.061502 2
945 237.8433583333333 40.06065833333333 0.076156 0
949 281.8585 -66.83713888888889 0.022059 9
959 302.91735 -20.81928611111111 0.036028 9
973 209.15641666666664 23.201027777777778 0.058509 0
974 150.74216666666663 2.2178055555555556 4.1974 9
977 236.30902916666665 -17.728369444444443 0.051466 9
993 10.810416666666665 41.565888888888885 0.000175 9
994 10.812416666666664 41.347166666666666 0.000175 9
1002 185.49491666666665 -43.33811111111111 0.023206 9
1013 315.1658333333333 -28.857055555555558 0.037686 9
1014 10.696708333333332 41.28088888888889 0.000175 9
1016 350.2567125 -28.890080555555556 0.072 9
1020 296.25429166666663 -14.780761111111111 0.000108 9
1026 9.627954166666665 -4.35213611111111 0.055785 9
1029 220.1678583333333 -23.17516388888889 0.054174 9
1034 10.101541666666666 41.06755555555556 0.000175 9
1035 356.5230416666666 53.23362777777778 0.034134 9
1049 245.1458083333333 24.12402777777778 0.066 1
1077 11.036333333333332 41.72686111111111 0.000175 9
1078 345.81166666666667 8.881944444444445 0.016317 9
1079 60.93749999999999 22.15994444444444 0.02 9
1086 10.745583333333332 41.440888888888885 0.000175 9
1105 356.1565166666667 -15.706949999999999 0.078337 9
1110 246.32949166666663 23.992050000000003 0.065282 1
1119 359.0589583333333 30.115972222222222 0.032 9
1129 19.29833333333333 13.341833333333334 0.048 9
1130 37.931875 0.9035 0.020991 9
1157 349.0128958333333 -8.183522222222223 0.07 9
1161 16.715300000000003 -39.31859166666667 0.06758 9
1167 30.281799999999997 31.88904722222222 0.017312 9
1168 30.061725 31.419047222222222 0.016728 9
1173 26.07958333333333 -8.237580555555555 0.051956 9
1185 109.17895833333333 29.854444444444447 0.010717 9
1197 88.15317916666666 -20.456183333333332 0.092327 9
1199 21.205916666666663 32.23502777777778 0.035 9
1222 30.07267916666666 31.440894444444446 0.016728 9
1240 9.581041666666664 29.58647222222222 0.0749 9
1242 23.282708333333332 30.552519444444446 0.00019 9
1248 10.709166666666665 41.257555555555555 0.000175 9
1253 172.27704999999997 8.988488888888888 0.020634 0
1256 10.725999999999997 41.51192777777778 0.000175 9
1257 178.31441666666663 15.063744444444445 0.113719 9
1259 333.3051166666666 -32.788799999999995 0.079001 9
1260 10.38425 41.12147222222222 0.000175 9
1276 10.767499999999998 41.25436111111111 0.000175 9
1286 14.400012499999997 14.601697222222223 0.077177 9
1288 147.87554999999998 2.2103805555555556 0.071541 0
1316 34.52495833333332 38.07941666666667 0.017 9
1317 287.67025 -44.17772222222222 0.01862 9
1318 33.12475 -22.47097222222222 0.041215 9
1329 41.97158333333333 41.216833333333334 0.013483 9
1332 201.75187916666664 -30.093266666666665 0.006331 9
1336 11.00633333333333 41.50511111111111 0.000175 9
1337 10.983333333333333 41.53647222222222 0.000175 9
1343 175.22804166666666 19.163416666666667 0.07 0
1346 10.872749999999998 41.28713888888889 0.000175 9
1354 10.74858333333333 41.358000000000004 0.000175 9
1361 170.7904083333333 49.37616944444444 0.099205 2
1364 203.83795 -34.207483333333336 0.023716 9
1365 27.807916666666664 22.580833333333334 0.032472 9
1376 170.50077916666663 42.9068 0.077507 1
1377 208.74895833333332 7.357169444444444 0.038 0
1381 239.78991249999996 35.03008888888889 0.031328 0
1384 233.29181666666665 27.488969444444447 0.071976 0
1453 344.2428791666666 -36.839483333333334 0.030208 9
1456 153.2094583333333 1.112538888888889 0.094 0
1457 175.28655833333332 10.334175 0.118578 9
1458 217.45169999999996 1.3375 0.14315 9
1459 229.56569999999996 12.4866 0.035635 1
1460 198.75414166666664 9.956002777777776 0.099 2
1461 23.703666666666663 21.422261111111112 0.03326 9
1464 187.2445833333333 31.66047222222222 0.038633 1
1471 150.64458333333332 44.78644444444444 0.02637 0
1483 23.141766666666662 32.31311944444444 0.07 9
1489 148.90029166666662 69.03725 0.00082 2
1498 198.23023749999996 -3.9142555555555556 0.1561 9
1503 206.9557958333333 -3.3175666666666666 0.198 9
1507 152.51199999999997 47.122883333333334 0.065462 0
1518 173.77672499999997 57.44204444444444 0.047172 0
1520 179.81256249999996 42.567036111111115 0.030412 1
1522 193.51581666666664 49.248019444444445 0.066947 1
1526 208.1661208333333 15.054375 0.094044 0
1528 216.86612499999995 6.306622222222222 0.05449 0
1529 172.8057083333333 34.20102777777778 0.02108 0
1530 152.11374999999995 12.315861111111111 0.00094 2
1534 10.668375 41.2145 0.000175 9
1535 148.8058333333333 69.01327777777777 0.00082 2
1542 125.66012500000001 56.32725000000001 0.02854 2
1543 148.88308333333333 69.15408333333333 0.00082 2
1546 173.13020833333331 53.05260277777778 0.003312 2
1548 208.7683208333333 -8.529686111111111 0.11 9
1549 148.96954166666663 68.97802777777778 0.00082 2
1551 183.86216666666664 15.246333333333332 0.026465 1
1553 161.40238333333332 -23.002983333333333 0.008613 9
1554 142.41309999999996 14.7185 0.0774 0
1557 210.7134583333333 -4.421544444444445 0.0466 9
1562 150.7791083333333 -7.390105555555556 0.054871 9
1563 224.27839166666664 21.37736388888889 0.103268 9
1565 176.47118749999996 -4.227094444444445 0.078 9
1572 241.3027333333333 21.232216666666666 0.048033 0
1573 109.50250416666665 44.09088888888889 0.06144 9
1574 195.8113 7.802269444444445 0.009757 2
1580 197.62692499999997 -3.3415444444444447 0.137 9
1582 126.7820833333333 25.96772222222222 0.006601 1
1583 10.309833333333334 40.93819444444444 0.000175 9
1584 204.38844999999998 -1.2396805555555557 0.08 0
1585 208.63524166666664 -6.227119444444445 0.116 9
1590 11.395416666666666 41.961222222222226 0.000175 9
1628 212.58501666666663 -39.86302777777778 0.032046 9
1697 213.65544999999997 61.12649444444445 0.14481 9
1744 232.43524999999997 42.773833333333336 0.018913 0
1753 163.16641666666663 19.945775 0.03 1
1758 163.18742916666665 42.816266666666664 0.137946 9
1764 10.925458333333333 41.376333333333335 0.000175 9
1770 138.49516666666665 17.944877777777776 0.0266 0
1801 225.56157499999995 68.26178055555556 0.032573 9
1803 241.3448333333333 16.199277777777777 0.033 0
1804 204.6939583333333 32.51347222222222 0.04 0
1805 348.88749999999993 19.046083333333335 0.0174 9
1812 184.8836333333333 49.81585277777778 0.013696 1
1813 171.94417083333332 25.99997777777778 0.032745 0
1821 196.26037499999998 28.73938888888889 0.028 0
1822 12.771874999999998 -7.063136111111111 0.005837 9
1830 193.56770833333331 27.30388888888889 0.02 0
1836 271.71122083333336 69.82442222222222 0.051 9
1846 328.1167208333333 -45.79215277777777 0.060742 9
1847 214.4981583333333 25.136841666666665 0.017175 1
1855 167.66349166666663 31.656363888888887 0.027979 0
1856 172.17085416666666 57.83512777777778 0.050999 0
1857 200.1782208333333 60.25718888888889 0.1 2
1858 239.57818333333333 25.856833333333334 0.070868 0
1860 235.55800416666662 18.583255555555557 0.072361 1
1865 10.581958333333333 40.94463888888889 0.000175 9
1875 271.9547833333333 35.88346666666666 0.021728 9
1905 229.2834208333333 1.0996944444444443 0.04 2
1914 194.7866333333333 37.31019166666666 0.015561 1
1915 180.7902208333333 44.53118611111111 0.002336 2
1916 226.42685416666663 60.79555555555555 0.044312 2
1921 295.39509999999996 3.658036111111111 0.024454 9
1926 156.9642083333333 -43.905 0.009 9
1927 157.19777916666663 39.82651944444445 0.030307 1
1929 211.6946458333333 71.88918055555557 0.034194 9
1930 330.7305416666667 -7.919636111111111 0.0586 9
1932 199.90754166666662 40.38606388888889 0.023857 0
1935 174.20889166666663 25.847869444444445 0.155972 9
1941 7.361654166666666 3.8235083333333333 0.041 9
1947 19.99873333333333 -0.4717888888888889 0.0448 9
1962 329.8236 -28.652672222222222 0.061406 9
1964 196.86242916666666 18.778644444444442 0.064337 0
1978 223.00044166666666 -2.0593 0.119917 9
1980 219.4607333333333 -2.151475 0.088001 1
1981 218.267475 -6.759652777777778 0.097834 9
1982 213.26181666666665 0.14625833333333332 0.054632 0
1984 208.0612375 11.503272222222222 0.039441 0
1995 36.687749999999994 26.13447222222222 0.032 9
2003 291.1593583333333 59.696194444444444 0.03586 9
2019 234.22562499999998 2.4656972222222224 0.04 0
2020 18.224620833333333 -18.126175 0.057016 9
2022 167.46061666666665 44.88963611111111 0.088264 1
2028 286.2756333333333 55.717622222222225 0.007939 9
2033 227.06059999999997 18.470233333333333 0.102386 9
2037 233.93424166666665 5.062283333333333 0.110344 9
2051 18.970254166666663 -31.58941388888889 0.035698 9
2054 0.08705416666666665 -36.48000555555556 0.104 9
2056 338.5165583333333 68.441775 0.014527 9
