# ID photoObjID hostra hostdec SDSSra SDSSdec petroMag_u petroMag_g petroMag_r petroMag_i petroMag_z petroMagErr_u petroMagErr_g petroMagErr_r petroMagErr_i petroMagErr_z extinction_u extinction_g extinction_r extinction_i extinction_z redshift vflag abs_mag rerun_abs_mag
47914 1237657633260699874 138.7333 46.90333 138.73198 46.903084 15.44749 14.08279 13.31872 12.89061 12.61978 0.03320013 0.004895207 0.003398513 0.004084769 0.005397849 0.07832146 0.06102756 0.04221858 0.03137293 0.0233357 0.014 1 -19.796023693030833 -19.796023693030833
46384 1237657633260699874 138.7333 46.90333 138.73198 46.903084 15.44749 14.08279 13.31872 12.89061 12.61978 0.03320013 0.004895207 0.003398513 0.004084769 0.005397849 0.07832146 0.06102756 0.04221858 0.03137293 0.0233357 0.014 1 -19.796023693030833 -19.796023693030833
53292 1237657770704437449 134.748 44.83058 134.74805 44.830595 18.53933 17.36878 17.02961 16.75984 16.67812 0.06435547 0.0104827 0.010886 0.01702177 0.05874692 0.08809423 0.06864243 0.04748652 0.03528757 0.02624747 0.0479 1 -18.756171081712456 -18.756171081712456
52674 1237657595683078624 116.4302 31.00856 116.43021 31.008608 18.90909 17.30345 16.38588 15.88615 15.56561 0.1297515 0.02598192 0.02386489 0.01760161 0.01793127 0.2383671 0.185734 0.1284899 0.09548178 0.0710209 0.062 0 -19.96018196213091 -19.96018196213091
52852 1237671991339516005 203.3631 5.482555 203.36689 5.4803297 16.79994 15.26885 14.77735 14.57 14.43348 0.04758821 0.008153033 0.006066226 0.006944962 0.02623263 0.1415546 0.1102984 0.0763039 0.05670198 0.04217585 0.022 0 -19.318866918750672 -19.318866918750672
46778 1237655123937001520 187.92 3.9263 187.92039 3.9263188 15.19202 13.76654 13.19738 12.94468 12.71065 0.05233434 0.09054002 0.09245452 0.09400122 0.08461305 0.1044479 0.08138506 0.05630181 0.04183828 0.03111999 0.01511 1 -20.08304583633476 -20.08304583633476
54551 1237668675623518317 188.1225 4.88875 188.12247 4.8887827 19.00992 17.83483 17.33247 17.01103 16.94851 0.09887942 0.01423734 0.009916445 0.01776873 0.07012024 0.08521064 0.06639556 0.04593214 0.0341325 0.02538831 0.082797 0 -19.641706520602128 -19.641706520602128
56169 1237654604797837662 180.6513 4.549917 180.65136 4.5499441 19.34829 17.69456 17.28776 17.13502 17.50963 0.1859046 0.02162987 0.02153032 0.02644706 0.1317954 0.08013414 0.06243998 0.04319569 0.03209903 0.02387578 0.018848 1 -16.472669880174678 -16.472669880174678
46870 1237655126078062738 173.168 5.3433 173.16781 5.3433006 18.07361 16.7111 16.26729 16.1715 16.11604 0.1167147 0.01917982 0.01323891 0.03031976 0.09804665 0.1129053 0.08797504 0.06086073 0.04522604 0.03363987 0.02814 1 -18.36343398013327 -18.36343398013327
51202 1237657590312206488 145.2417 47.62056 145.24224 47.620455 16.10597 14.276 13.72806 13.36616 13.1887 0.04362336 0.02716917 0.01673773 0.02003554 0.01205634 0.05547324 0.04322438 0.02990242 0.0222207 0.01652812 0.0161 0 -19.69017289479889 -19.69017289479889
50703 1237661958829441105 193.8542 52.2675 193.85353 52.267703 15.34134 14.16761 13.51163 13.20284 13.31948 0.01975336 0.003115338 0.002761037 0.003167962 0.01454454 0.0655588 0.05108297 0.03533896 0.02626064 0.01953309 0.0347 0 -21.574120888594006 -21.574120888594006
50567 1237657628987031575 165.6458 50.5825 165.64548 50.582283 16.14841 14.57437 14.03489 13.84795 13.70089 0.2144698 0.1906987 0.1663765 0.05041919 0.2093783 0.07436916 0.05794794 0.04008812 0.02978977 0.02215812 0.0224 0 -20.100453606310456 -20.100453606310456
52557 1237657628987031575 165.6458 50.5825 165.64548 50.582283 16.14841 14.57437 14.03489 13.84795 13.70089 0.2144698 0.1906987 0.1663765 0.05041919 0.2093783 0.07436916 0.05794794 0.04008812 0.02978977 0.02215812 0.0223 0 -20.090737829880442 -20.090737829880442
51979 1237657856601620747 151.5458 47.29445 151.54772 47.295021 18.25168 17.03247 16.51396 16.28568 16.46729 0.08045682 0.01550984 0.0106682 0.01767356 0.08959664 0.0470899 0.03669213 0.02538345 0.01886262 0.01403033 0.04 1 -18.880443471279445 -18.880443471279445
47970 1237657400810471527 143.631 46.4616 143.63155 46.461594 16.9514 15.66369 14.99372 14.65587 14.40472 0.0383764 0.005709306 0.005418058 0.007329698 0.01558809 0.06037125 0.04704087 0.03254266 0.02418268 0.01798747 0.02649 0 -19.505793306125792 -19.505793306125792
49506 1237657402419052703 137.178 44.8107 137.17756 44.810656 16.43124 14.80984 14.30284 13.92939 13.62552 0.03525084 0.004074266 0.003695027 0.003888156 0.01031818 0.07449082 0.05804274 0.0401537 0.0298385 0.02219436 0.02675 0 -20.21788244642587 -20.21788244642587
52254 1237657606427246665 131.5583 41.57972 131.55878 41.57978 16.14003 14.39643 13.66714 13.31815 12.99446 0.02680544 0.003357059 0.002384293 0.002610177 0.005684975 0.1250791 0.09746081 0.06742294 0.05010247 0.03726703 0.030364 0 -21.128758428408215 -21.128758428408215
48463 1237674365920739456 122.563 33.9566 122.56477 33.959741 21.00371 20.19089 19.25421 18.92378 18.63863 0.4095088 0.2513675 0.1820581 0.182665 0.1833335 0.2273574 0.1771553 0.1225552 0.09107167 0.06774059 0.01751 1 -14.34632424505687 -20.61092424505687
47732 1237674365920739456 122.563 33.9566 122.56477 33.959741 21.00371 20.19089 19.25421 18.92378 18.63863 0.4095088 0.2513675 0.1820581 0.182665 0.1833335 0.2273574 0.1771553 0.1225552 0.09107167 0.06774059 0.01751 1 -14.34632424505687 -20.61092424505687
50984 1237655348888141972 229.1292 54.45972 229.13078 54.458604 17.39465 16.37249 16.02021 15.80865 15.70771 0.02418646 0.00415594 0.004709144 0.006101023 0.02532649 0.06985682 0.05443196 0.03765578 0.02798228 0.02081368 0.04 1 -19.374193471279447 -19.374193471279447
49053 1237655347276677270 224.97 54.619 224.9703 54.619007 17.26705 16.00604 15.5441 15.30141 15.14904 0.03608549 0.006033512 0.005693648 0.008216 0.02562256 0.04938736 0.0384823 0.02662188 0.01978291 0.01471485 0.02627 1 -18.937303878569992 -18.937303878569992
