ID,PhotoObjID,petroMag_r,petroFlux_u,petroFlux_g,petroFlux_r,petroFlux_i,petroFlux_z,petroFluxIvar_u,petroFluxIvar_g,petroFluxIvar_r,petroFluxIvar_i,petroFluxIvar_z
1584,1237648702975639736,17.40083,13.55162,51.79935,109.5642,174.5976,209.9846,0.2525832,0.9364166,0.2138519,0.04560144,0.007166579
465,1237648721246290147,16.76493,35.88984,114.7558,196.8004,271.1425,336.078,0.5335513,1.17267,0.3286604,0.2148645,0.01928493
419,1237648722304172344,16.42431,50.16409,166.9515,269.3255,357.5386,410.3102,0.1299727,0.4016777,0.1511707,0.05949091,0.006975508
48713,1237648722308759778,13.93589,599.8012,1958.822,2664.681,3273.064,3576.054,0.006700986,0.008123346,0.002684339,0.003650065,0.0003493085
736,1237648722312495178,17.55096,16.30651,63.78194,95.41478,125.7909,111.5575,0.1726735,0.7757944,0.2362777,0.07570177,0.004488167
1456,1237648722829639753,15.97771,46.22793,184.255,406.3665,615.2534,806.7346,0.09679973,0.2724952,0.1181645,0.05304561,0.004517071
55449,1237651066813087901,16.50294,65.58957,181.5529,250.5088,299.1606,242.7571,0.0406139,0.1270622,0.07902859,0.01937909,0.00136242
4568,1237651190282911866,16.91579,46.75436,127.0827,171.2707,215.9147,247.0162,0.1618335,0.6721759,0.3355136,0.1451811,0.01066191
52219,1237651190825877669,16.05543,106.6762,266.839,378.2942,471.722,534.0398,0.1153201,0.3467748,0.1457141,0.06575497,0.005894946
46697,1237651192428363913,21.88791,1.003121,1.668444,1.749056,2.884845,3.272664,1.376796,5.035616,2.67657,0.9567768,0.1422864
48948,1237651250947293406,14.25094,302.6602,1074.225,1993.544,2809.322,3665.806,0.00925711,0.005959552,0.004394478,0.002874992,0.0005872825
52413,1237651271883817175,15.2229,113.3202,440.8331,814.403,1117.724,1085.047,0.01747182,0.05901767,0.06075602,0.01318716,0.0009397879
3944,1237651735772070028,16.43885,22.77275,113.5194,265.7422,376.6337,524.8235,0.1590886,0.8247097,0.2745854,0.1112794,0.007635114
2019,1237651737391268200,16.07486,63.85113,214.2272,371.582,499.035,629.656,0.1097542,0.4508481,0.2077078,0.06897923,0.004695144
464,1237651752400060518,16.81984,30.02853,98.15085,187.0954,271.6894,330.9974,0.1520461,0.5160605,0.1411758,0.01743231,0.003796013
426,1237651754021093483,18.82235,2.340887,13.82326,29.58374,31.64328,33.25694,0.6468711,0.2689345,0.1355328,0.08949821,0.04378256
51256,1237651754545053750,14.00285,424.1365,1431.251,2505.293,3402.023,4117.875,0.02035303,0.06018843,0.02976653,0.01089998,0.0009861327
47328,1237651821641073021,15.79164,148.172,361.0846,482.3298,589.8663,621.3156,0.06566254,0.3332665,0.1419854,0.05988207,0.003740166
48639,1237653587408060429,14.01871,154.1951,1209.313,2468.981,3269.556,3008.935,0.009356069,2.572707E-05,2.156602E-05,4.082179E-06,6.82802E-05
52472,1237653614794178648,12.71045,629.3371,3687.176,8238.003,12427.09,15415.33,0.006943643,0.004856358,0.002104749,0.00110452,0.0002452488
50839,1237654381980483709,14.69127,216.4165,790.7156,1328.893,1607.787,1613.279,0.01261065,0.02752494,0.01659476,0.008677263,0.0006027556
52675,1237654599956496518,16.41024,38.79198,147.7827,272.8377,379.9107,465.8575,0.1803601,0.4937508,0.2374236,0.116706,0.01099063
48661,1237654601571106901,13.6892,560.0472,1852.425,3344.41,4762.063,5692.887,0.01809017,0.01570302,0.007448745,0.003496784,0.000962337
56169,1237654604797837662,17.28776,18.22465,83.59447,121.5896,139.9554,99.11144,0.102671,0.3605652,0.1720098,0.08604226,0.006907225
434,1237654605860765720,16.12016,62.92915,203.2091,356.3976,523.0244,635.9835,0.4804236,0.9840559,0.2570105,0.1858783,0.02481133
7549,1237654652569845828,16.60552,69.10754,171.6483,227.9245,287.5968,306.5368,0.4214546,1.580715,0.7414029,0.3434457,0.0212673
51553,1237654653103243340,13.98178,1137.803,1568.97,2554.4,2516.631,2232.462,0.001619714,0.0003684313,9.906331E-05,3.458918E-05,0.0001320776
50676,1237655106766766185,14.31212,291.0299,1273.611,1884.31,2152.357,2120.642,0.008794922,0.01392568,0.0198103,0.008680156,0.001352812
50925,1237655106766766185,14.31212,291.0299,1273.611,1884.31,2152.357,2120.642,0.008794922,0.01392568,0.0198103,0.008680156,0.001352812
