# ID redshift petroMag_r rabsmag
1584 0.08 17.40083 -19.631426768273315
465 0.054 16.76493 -19.423829364519463
419 0.06227 16.42431 -20.05545917782679
48713 0.01697 13.93589 -19.773378136188466
736 0.073 17.55096 -19.258872944899753
1456 0.094 15.97771 -21.385874150488046
55449 0.035322 16.50294 -18.745529589593506
4568 0.05 16.91579 -19.07635869297333
52219 0.03013 16.05543 -18.86813363066817
46697 0.0075 21.88791 -10.043958875735662
48948 0.02402 14.25094 -20.23475260698114
52413 0.03378 15.2229 -19.97244377642012
3944 0.0617 16.43885 -20.05516474516003
2019 0.04 16.07486 -19.479281304832252
464 0.0841239 16.81984 -20.30913185757821
426 0.017996 18.82235 -15.03699430435988
51256 0.0269 14.00285 -20.711951536213462
47328 0.0369 15.79164 -19.556890116232353
48639 0.026 14.01871 -20.636212572064778
52472 0.030154 12.71045 -22.276552824449457
50839 0.0254 14.69127 -19.898197295158678
52675 0.074 16.41024 -20.447125081277846
48661 0.03034 13.6892 -21.27649431929188
56169 0.018848 17.28776 -16.67263820109775
434 0.06424 16.12016 -20.440922028453407
7549 0.0344 16.60552 -18.60121616386293
51553 0.0065 13.98178 -17.657265942401594
50676 0.0064 14.31212 -17.320122933016805
50925 0.006328 14.31212 -17.29560588626358
51324 0.0104 12.49121 -20.151938407982303
51325 0.0104 12.49121 -20.151938407982303
49183 0.01 12.49121 -20.06707043735752
47558 0.0104 12.49121 -20.151938407982303
47414 0.01 12.49121 -20.06707043735752
47007 0.01 12.49121 -20.06707043735752
47000 0.01 12.49121 -20.06707043735752
46778 0.01511 13.19738 -20.298872796042808
47086 0.07565 17.85203 -19.033314260941243
46870 0.02814 16.26729 -18.53197713680542
51969 0.018 15.54615 -18.285231576381967
50984 0.04 16.02021 -19.497639880430754
47956 0.03 20.03231 -14.953147015424092
12857 0.044 14.46234 -21.31078743320958
47852 0.03 15.56489 -19.365727508727645
51065 0.044 14.88652 -20.868608083222643
54274 0.058 16.25221 -20.06725291891406
46330 0.039 15.33515 -20.147472532539584
50157 0.04 15.58017 -19.972226376993152
47970 0.02649 14.99372 -19.69201136161362
49506 0.02675 14.30284 -20.42884420728895
51202 0.0161 13.72806 -19.890473214854406
52256 0.0545 17.73259 -18.437976583504213
52274 0.019326 15.77387 -18.242049396283118
49784 0.0081 14.88349 -17.21990045122748
52172 0.038054 15.64618 -19.775341070306386
52586 0.008 12.0384 -20.05161277025356
52254 0.030364 13.66714 -21.32887188064416
47370 0.01063 12.17506 -20.524180692517955
48679 0.01385 14.67846 -18.601461610140475
49791 0.005574 19.95552 -11.365430223978347
47005 0.0251 16.09225 -18.46777221748483
53292 0.0479 17.02961 -18.873900472035753
52104 0.01624 12.76791 -20.823563137116082
52379 0.0274 13.7576 -21.018812976110116
51979 0.04 16.51396 -19.01743727275154
46820 0.01603 13.07115 -20.535932644963882
52556 0.015968 13.07115 -20.5275717973077
47073 0.00853 19.98046 -12.31155521065426
750 0.072824 16.86615 -19.94942142101104
53351 0.016 16.53902 -17.052586787719786
47962 0.028 13.07994 -21.721367316386097
51406 0.0277 13.07994 -21.698532420156674
